Ref. Pitch Res. Unc. Colors Markers
CMS-TS-2016-010 150 50.2 0.36 600 21
CMS-TS-2016-010 100 32.7 0.30 600 21
Dissertation,LMUMuenchen23939 100 28.9 0 1 34
NIMA845(2017)189-193 100 26.5 0 1 48
MasterThesisI.Zoi 100 22.9 0 1 47
MasterBoronat 75 20 0 591 37
MasterBoronat 75 10.8 0 591 38
arXiv:1103.2739v3 55 16 0.2 1 44
2017JINST_12_C01013 55 14 0 1 24
arXiv:1103.2739v3 55 10 0.2 1 40
arXiv:1103.2739v3 55 4.4 0.1 1 46
NIMA978(2020)164438 50 15 0 600 22
NIMA481(2002)204-221 50 14 0.3 1 33
MasterBoronat 50 12.8 0 591 37
NIMA481(2002)204-221 50 12.7 0.3 1 39
NIMA481(2002)204-221 50 12.1 0.3 1 41
NIMA481(2002)204-221 50 10.7 0.3 1 43
NIMA481(2002)204-221 50 12.5 0.3 1 45
Dissertation,LMUMuenchen23939 50 14.5 0 1 34
FINN 50 12.18 0.04 632 20
MasterThesisI.Zoi 50 9.8 0 1 47
NIMA845(2017)189-193 50 8.9 0 1 48
MasterBoronat 50 5.7 0 591 38
NIMA936(2019)612-615 40 13 0 591 25
NIMA638(2011)24-32 32 1.6 0.1 1 25
NIMA901(2019)173-179 30 4.3 0.1 1 28
EUDET-Report-2009-02 30 2.7 0 1 36
CLICdp-Note-2017-004 28 6 0 1 42
NIMA936(2019)612-615 25 8 0 591 26
MasterThesisI.Zoi 25 7.7 0 1 47
Dissertation,LMUMuenchen23939 25 7.2 0 1 34
NIMA978(2020)164429 25 6.2 0 600 23
NIMA845(2017)189-193 25 5.8 0 1 48
NIMA978(2020)164438 25 5.8 0 600 22
Dreimaster 25 5.61 0.03 632 29
PoS(Vertex2019)044 25 5 0 591 32
NIMA638(2011)24-32 24 1.2 0.1 1 25
NIMA604(2009)385-389 24 4.2 0.16 1 31
NIMA731(2013)131-136 21 3 0 1 30
NIMA845(2018)139-142 20 1.35 0 591 27
NIMA638(2011)24-32 20 1 0.1 1 25
EPJTechnInstrum3,7(2016) 18.4 3 0.01 600 36
NIMA654(2011)258-265 13.75 1.12 0.03 1 35
EUDET-Report-2009-02 10 0.85 0 1 36
TIPP2017Springer213pp331-338 8 0.6 0.01 1 24
